stringId_A	stringId_B	preferredName_A	preferredName_B	ncbiTaxonId	score	nscore	fscore	pscore	ascore	escore	dscore	tscore
9606.ENSP00000240055	9606.ENSP00000345702	NFYB	NFYA	9606	0.999	0	0	0	0.093	0.997	0.9	0.999
9606.ENSP00000240055	9606.ENSP00000312617	NFYB	NFYC	9606	0.999	0	0	0	0.104	0.997	0.9	0.999
9606.ENSP00000240055	9606.ENSP00000417291	NFYB	REPIN1	9606	0.983	0	0	0	0	0.051	0	0.983
9606.ENSP00000240055	9606.ENSP00000485010	NFYB	CIITA	9606	0.95	0	0	0	0	0	0.9	0.53
9606.ENSP00000240055	9606.ENSP00000220913	NFYB	CHRAC1	9606	0.924	0	0	0	0.081	0.745	0	0.701
9606.ENSP00000240055	9606.ENSP00000307183	NFYB	ING2	9606	0.905	0	0	0	0.055	0	0.9	0.08
9606.ENSP00000240055	9606.ENSP00000263253	NFYB	EP300	9606	0.904	0	0	0	0	0.625	0.5	0.532
9606.ENSP00000240055	9606.ENSP00000234170	NFYB	CEBPZ	9606	0.903	0	0	0	0.179	0.292	0.36	0.771
9606.ENSP00000240055	9606.ENSP00000334002	NFYB	HAP1	9606	0.886	0	0	0	0	0	0	0.886
9606.ENSP00000240055	9606.ENSP00000366390	NFYB	SPDYC	9606	0.815	0	0	0	0.074	0.745	0	0.28
9606.ENSP00000240055	9606.ENSP00000335628	NFYB	SPDYA	9606	0.815	0	0	0	0.074	0.745	0	0.28
9606.ENSP00000240055	9606.ENSP00000290524	NFYB	RFX5	9606	0.81	0	0	0	0.049	0	0	0.809
9606.ENSP00000240055	9606.ENSP00000230354	NFYB	TBP	9606	0.794	0	0	0	0.074	0.292	0	0.711
9606.ENSP00000240055	9606.ENSP00000478887	NFYB	MYC	9606	0.788	0	0	0	0	0.292	0	0.714
9606.ENSP00000240055	9606.ENSP00000420176	NFYB	POLE4	9606	0.772	0	0	0	0.049	0.746	0	0.134
9606.ENSP00000240055	9606.ENSP00000307850	NFYB	DRAP1	9606	0.74	0	0	0	0	0.44	0	0.554
9606.ENSP00000240055	9606.ENSP00000329357	NFYB	SP1	9606	0.718	0	0	0	0.056	0.299	0.5	0.249
9606.ENSP00000240055	9606.ENSP00000269305	NFYB	TP53	9606	0.717	0	0	0	0	0.625	0	0.278
9606.ENSP00000240055	9606.ENSP00000368880	NFYB	FOXO1	9606	0.709	0	0	0	0	0	0.5	0.442
9606.ENSP00000306245	9606.ENSP00000245919	FOS	FOSB	9606	0.999	0	0	0.066	0.826	0.359	0.9	0.984
9606.ENSP00000306245	9606.ENSP00000252818	FOS	JUND	9606	0.999	0	0	0	0.155	0.907	0.9	0.998
9606.ENSP00000306245	9606.ENSP00000360266	FOS	JUN	9606	0.999	0	0	0	0.69	0.999	0.9	0.999
9606.ENSP00000306245	9606.ENSP00000303315	FOS	JUNB	9606	0.999	0	0	0	0.809	0.907	0.9	0.995
