pool	directory	accession
primary	ADNP_human	ENCFF739AJO
primary	AFF1_human	ENCFF195YGC
primary	AFF4_human	ENCFF142MJD
primary	ARHGAP35_human	ENCFF952WKN
primary	ARID1B_human	ENCFF879NTL
primary	ARID3A_human	ENCFF891OQP
primary	ARID3B_human	ENCFF270TSN
primary	ARID4B_human	ENCFF528IDR
primary	ARNT_human	ENCFF728ITJ
primary	ATF1_human	ENCFF206BGR
primary	ATF2_human	ENCFF192ASP
primary	ATF3_human	ENCFF895RNS
primary	ATF4_human	ENCFF250MUC
primary	ATF6_human	ENCFF863ZFH
primary	BACH1_human	ENCFF026BDA
primary	BCL6_human	ENCFF941EDY
primary	BCLAF1_human	ENCFF070ZTX
primary	BHLHE40_human	ENCFF154IVU
primary	BMI1_human	ENCFF600KEF
primary	BRF2_human	ENCFF944LWS
primary	CBFB_human	ENCFF802NHC
primary	CBX1_human	ENCFF470CSE
primary	CBX2_human	ENCFF258XBJ
primary	CC2D1A_human	ENCFF156GHD
primary	CDC5L_human	ENCFF408RSJ
primary	CEBPB_human	ENCFF022KBK
primary	CEBPG_human	ENCFF004SPR
primary	CEBPZ_human	ENCFF588GNU
primary	CGGBP1_human	ENCFF771XZZ
primary	CHAMP1_human	ENCFF541VYN
primary	CHCHD3_human	ENCFF645IVF
primary	CHD7_human	ENCFF722UJW
primary	CLOCK_human	ENCFF648UJW
primary	CREB1_human	ENCFF193LLN
primary	CREB3L1_human	ENCFF683BJS
primary	CREB3_human	ENCFF829IEE
primary	CREB5_human	ENCFF875JMR
primary	CREM_human	ENCFF324ELP
primary	CTCFL_human	ENCFF630YVJ
primary	CTCF_human	ENCFF362OPG
primary	CUX1_human	ENCFF136KLM
primary	DACH1_human	ENCFF729DNM
primary	DDIT3_human	ENCFF869RFC
primary	DEAF1_human	ENCFF030AXK
primary	DLX4_human	ENCFF832DBU
primary	DMBX1_human	ENCFF359ZQQ
primary	DMTF1_human	ENCFF505INE
primary	E2F1_human	ENCFF053HPQ
primary	E2F3_human	ENCFF710UAZ
primary	E2F4_human	ENCFF064CWA
primary	E2F5_human	ENCFF173QUY
primary	E2F6_human	ENCFF831NDQ
primary	E2F7_human	ENCFF938ZPZ
primary	E2F8_human	ENCFF925GLW
primary	E4F1_human	ENCFF683WRK
primary	EGR1_human	ENCFF566PRZ
primary	ELF1_human	ENCFF763MXW
primary	ELF2_human	ENCFF695PDY
primary	ELF4_human	ENCFF518EGY
primary	ELK1_human	ENCFF715WGN
primary	ELK3_human	ENCFF198NGY
primary	EP300_human	ENCFF821MKR
primary	ESRRA_human	ENCFF588QRH
primary	ESRRB_human	ENCFF106ECV
primary	ETS1_human	ENCFF159OUK
primary	ETS2_human	ENCFF772QLT
primary	ETV1_human	ENCFF313PVP
primary	ETV5_human	ENCFF604LXR
primary	ETV6_human	ENCFF965PER
primary	FOSL1_human	ENCFF004HXL
primary	FOS_human	ENCFF258PLH
primary	FOXA1_human	ENCFF497OQD
primary	FOXA3_human	ENCFF406TZR
primary	FOXJ2_human	ENCFF957CVJ
primary	FOXJ3_human	ENCFF567CPM
primary	FOXK1_human	ENCFF516ZWP
primary	FOXK2_human	ENCFF702AQS
primary	FOXO4_human	ENCFF750AGR
primary	FOXP4_human	ENCFF974IPP
