pool	directory	accession
primary	GABPA_human	ENCFF489EME
primary	GABPB1_human	ENCFF599CIT
primary	GABPB2_human	ENCFF792PHG
primary	GATA1_human	ENCFF657CTC
primary	GATA2_human	ENCFF497ISV
primary	GATAD2B_human	ENCFF388KGW
primary	GMEB1_human	ENCFF365ETH
primary	GTF2B_human	ENCFF987FJR
primary	GTF2I_human	ENCFF866OZW
primary	GTF3C2_human	ENCFF496PIQ
primary	HBP1_human	ENCFF681YLP
primary	HES1_human	ENCFF671ZGP
primary	HEY1_human	ENCFF180KAV
primary	HINFP_human	ENCFF166AFQ
primary	HIVEP1_human	ENCFF449JMB
primary	HMBOX1_human	ENCFF672ZQW
primary	HMG20A_human	ENCFF866ARI
primary	HMG20B_human	ENCFF099OSI
primary	HMGXB4_human	ENCFF185KMK
primary	HNRNPK_human	ENCFF455OST
primary	HOMEZ_human	ENCFF601LMD
primary	ID3_human	ENCFF375SIS
primary	IFI16_human	ENCFF518SJY
primary	IKZF1_human	ENCFF637SIR
primary	ILK_human	ENCFF143MEF
primary	IRF1_human	ENCFF083SUA
primary	IRF2_human	ENCFF430YXJ
primary	IRF9_human	ENCFF724CHN
primary	JUND_human	ENCFF190FYA
primary	JUN_human	ENCFF269FQL
primary	KLF10_human	ENCFF142ZTD
primary	KLF13_human	ENCFF453MMH
primary	KLF16_human	ENCFF488OTN
primary	KLF1_human	ENCFF674KVR
primary	KLF6_human	ENCFF563ZJM
primary	LCOR_human	ENCFF266MUT
primary	LEF1_human	ENCFF591TLJ
primary	MAFF_human	ENCFF119AHD
primary	MAFG_human	ENCFF571LUR
primary	MAFK_human	ENCFF439TJM
primary	MAX_human	ENCFF822FKQ
primary	MAZ_human	ENCFF962GWS
primary	MBD1_human	ENCFF313VEF
primary	MECOM_human	ENCFF188PLS
primary	MEF2A_human	ENCFF031NTF
primary	MEF2D_human	ENCFF542DHM
primary	MEIS2_human	ENCFF861ZJL
primary	MGA_human	ENCFF524ZER
primary	MITF_human	ENCFF605XYC
primary	MLLT1_human	ENCFF355OYM
primary	MLX_human	ENCFF682SSQ
primary	MNT_human	ENCFF627UZT
primary	MTF1_human	ENCFF478MAJ
primary	MXD1_human	ENCFF559MTF
primary	MXI1_human	ENCFF068IGH
primary	MYBL2_human	ENCFF136TBA
primary	MYC_human	ENCFF608CXN
primary	MYNN_human	ENCFF749GMT
primary	NEUROD1_human	ENCFF625QHR
primary	NFATC3_human	ENCFF972OBR
primary	NFE2_human	ENCFF474PRJ
primary	NFIC_human	ENCFF169MAE
primary	NFIX_human	ENCFF726LLI
primary	NFXL1_human	ENCFF341CNM
primary	NFYA_human	ENCFF908HSL
primary	NFYB_human	ENCFF718ZFY
primary	NKRF_human	ENCFF068MGV
primary	NR0B1_human	ENCFF223FOF
primary	NR1H2_human	ENCFF798KXN
primary	NR2C1_human	ENCFF469ZBB
primary	NR2C2_human	ENCFF263VIC
primary	NR2F1_human	ENCFF746GDG
primary	NR2F2_human	ENCFF847ZHF
primary	NR2F6_human	ENCFF647RGI
primary	NR3C1_human	ENCFF201BGD
primary	NR4A1_human	ENCFF255TTB
primary	NRF1_human	ENCFF610XNG
primary	OTX1_human	ENCFF245JPK
primary	PATZ1_human	ENCFF743JJF
primary	PBX2_human	ENCFF841RMH
primary	PHB2_human	ENCFF785QJM
primary	PHTF2_human	ENCFF130WQT
primary	PKNOX1_human	ENCFF099RDJ
primary	POU5F1_human	ENCFF724DNU
primary	PPARD_human	ENCFF893YKY
primary	PRDM10_human	ENCFF405BKB
primary	PREB_human	ENCFF927VIS
primary	PTTG1_human	ENCFF918BZG
primary	RBPJ_human	ENCFF691JZW
primary	RCOR1_human	ENCFF224YBQ
primary	RELA_human	ENCFF936WES
primary	RERE_human	ENCFF473NCJ
primary	REST_human	ENCFF539MIO
primary	RFX1_human	ENCFF903JDQ
primary	RFX5_human	ENCFF661EUX
primary	RFX7_human	ENCFF774NZZ
primary	RHOXF2B_human	ENCFF771ZNH
primary	RLF_human	ENCFF752VQB
primary	RNF219_human	ENCFF417FFL
primary	RNF2_human	ENCFF923GDR
primary	RREB1_human	ENCFF057RJK
primary	RUNX1_human	ENCFF374EFU
primary	SFPQ_human	ENCFF652ZEN
primary	SIX5_human	ENCFF742ZHT
primary	SKIL_human	ENCFF067KCK
primary	SMAD1_human	ENCFF120PGJ
primary	SMAD2_human	ENCFF730QQD
primary	SMAD3_human	ENCFF975EAX
primary	SMAD4_human	ENCFF934NEX
primary	SMAD5_human	ENCFF356NJI
primary	SNAPC5_human	ENCFF656THP
primary	SOX6_human	ENCFF125GZU
primary	SP1_human	ENCFF171NEU
primary	SP2_human	ENCFF741FZG
primary	SREBF1_human	ENCFF029RBI
primary	SREBF2_human	ENCFF710YFH
primary	SRF_human	ENCFF101SEZ
primary	STAT1_human	ENCFF446GDD
primary	STAT2_human	ENCFF142EQZ
primary	STAT5A_human	ENCFF123LPS
primary	STAT5B_human	ENCFF122FTW
primary	STAT6_human	ENCFF598VGY
primary	TBPL1_human	ENCFF927NEU
primary	TBX18_human	ENCFF405EGZ
primary	TCF12_human	ENCFF504PFQ
primary	TCF15_human	ENCFF415MKA
primary	TCF3_human	ENCFF773RNU
primary	TCF7L2_human	ENCFF732ZNB
primary	TCF7_human	ENCFF736XUU
primary	TCFL5_human	ENCFF144RKD
primary	TEAD1_human	ENCFF692HUD
primary	TEAD2_human	ENCFF209WPT
primary	TEAD4_human	ENCFF501XJP
primary	TFAM_human	ENCFF970IRD
primary	TFAP4_human	ENCFF438IYI
primary	TFCP2_human	ENCFF392MAR
primary	TFDP1_human	ENCFF044IDV
primary	TFE3_human	ENCFF592NJN
primary	TGIF2_human	ENCFF238XIA
primary	THAP12_human	ENCFF206LMB
primary	THAP1_human	ENCFF823RYG
primary	THAP7_human	ENCFF372YFU
primary	THRA_human	ENCFF992HUS
primary	THRB_human	ENCFF045UGP
primary	TRIM24_human	ENCFF527MLG
primary	TRIM25_human	ENCFF448LKL
primary	TRIM28_human	ENCFF172CRL
primary	TSC22D4_human	ENCFF705SFR
primary	TSHZ1_human	ENCFF144ZLB
primary	UBTF_human	ENCFF568ZPW
primary	USF1_human	ENCFF310CCS
primary	USF2_human	ENCFF289ZIR
primary	VEZF1_human	ENCFF433ERT
primary	XRCC5_human	ENCFF708IYN
primary	YBX1_human	ENCFF286IPW
primary	YY1_human	ENCFF074OAM
primary	ZBED1_human	ENCFF392INU
primary	ZBTB11_human	ENCFF991VAW
primary	ZBTB12_human	ENCFF830MTX
primary	ZBTB17_human	ENCFF292HSS
primary	ZBTB26_human	ENCFF435SNP
primary	ZBTB2_human	ENCFF209DVO
primary	ZBTB33_human	ENCFF146GZZ
primary	ZBTB34_human	ENCFF683VXW
primary	ZBTB40_human	ENCFF132DPY
primary	ZBTB43_human	ENCFF124KCE
primary	ZBTB49_human	ENCFF308VAI
primary	ZBTB5_human	ENCFF460GXA
primary	ZBTB8A_human	ENCFF423CWQ
primary	ZBTB9_human	ENCFF588CXX
primary	ZC3H8_human	ENCFF230DZT
primary	ZEB2_human	ENCFF242AOL
primary	ZFP1_human	ENCFF795AWO
primary	ZFP30_human	ENCFF141HPL
primary	ZFP91_human	ENCFF718IGO
primary	ZHX1_human	ENCFF111ICL
primary	ZKSCAN1_human	ENCFF560UGR
primary	ZKSCAN3_human	ENCFF697DRN
primary	ZKSCAN8_human	ENCFF109UVJ
primary	ZMIZ1_human	ENCFF881DAT
primary	ZMYM3_human	ENCFF117XRE
primary	ZNF121_human	ENCFF476ONW
primary	ZNF124_human	ENCFF881MMD
primary	ZNF12_human	ENCFF021JCJ
primary	ZNF133_human	ENCFF810OHB
primary	ZNF134_human	ENCFF566EGM
primary	ZNF140_human	ENCFF207XCM
primary	ZNF143_human	ENCFF596HNP
primary	ZNF146_human	ENCFF932FVX
primary	ZNF148_human	ENCFF283UWH
primary	ZNF165_human	ENCFF169QYL
primary	ZNF174_human	ENCFF822FXR
primary	ZNF175_human	ENCFF192MEM
primary	ZNF184_human	ENCFF882XTP
primary	ZNF197_human	ENCFF987UBO
primary	ZNF212_human	ENCFF435MHH
primary	ZNF215_human	ENCFF922RHM
primary	ZNF217_human	ENCFF515LWL
primary	ZNF224_human	ENCFF905RSN
primary	ZNF232_human	ENCFF672PJF
primary	ZNF239_human	ENCFF569TJP
primary	ZNF23_human	ENCFF063VRD
primary	ZNF24_human	ENCFF268YOM
primary	ZNF253_human	ENCFF113OSJ
primary	ZNF257_human	ENCFF738IQL
primary	ZNF263_human	ENCFF295XBK
primary	ZNF274_human	ENCFF045CFL
primary	ZNF277_human	ENCFF382QUI
primary	ZNF280A_human	ENCFF932ZCO
primary	ZNF280B_human	ENCFF253UAF
primary	ZNF281_human	ENCFF648ORA
primary	ZNF282_human	ENCFF094FBP
primary	ZNF311_human	ENCFF080KWE
primary	ZNF316_human	ENCFF451AEQ
primary	ZNF317_human	ENCFF653DNY
primary	ZNF318_human	ENCFF545WAL
primary	ZNF319_human	ENCFF873VFI
primary	ZNF324_human	ENCFF265MQC
primary	ZNF347_human	ENCFF843NBV
primary	ZNF354B_human	ENCFF649UCX
primary	ZNF354C_human	ENCFF604RBX
primary	ZNF384_human	ENCFF864XZP
primary	ZNF395_human	ENCFF430IPX
primary	ZNF397_human	ENCFF193BGB
primary	ZNF398_human	ENCFF380KJB
primary	ZNF3_human	ENCFF180XUM
primary	ZNF407_human	ENCFF015FXW
primary	ZNF408_human	ENCFF207MLR
primary	ZNF41_human	ENCFF566BPY
primary	ZNF431_human	ENCFF442RYH
primary	ZNF436_human	ENCFF318ZUN
primary	ZNF444_human	ENCFF295XCB
primary	ZNF445_human	ENCFF416TFM
primary	ZNF449_human	ENCFF443BGE
primary	ZNF507_human	ENCFF239WDX
primary	ZNF511_human	ENCFF653ABW
primary	ZNF512_human	ENCFF184IOY
primary	ZNF518B_human	ENCFF096AYV
primary	ZNF551_human	ENCFF913YMX
primary	ZNF561_human	ENCFF688WTQ
primary	ZNF57_human	ENCFF945IST
primary	ZNF583_human	ENCFF053ABJ
primary	ZNF584_human	ENCFF005MBI
primary	ZNF586_human	ENCFF558YMC
primary	ZNF589_human	ENCFF345IHK
primary	ZNF592_human	ENCFF847QJI
primary	ZNF609_human	ENCFF824EJC
primary	ZNF639_human	ENCFF647DPD
primary	ZNF644_human	ENCFF773XPT
primary	ZNF655_human	ENCFF156EZP
primary	ZNF668_human	ENCFF885HJI
primary	ZNF695_human	ENCFF493LZB
primary	ZNF696_human	ENCFF668VTR
primary	ZNF699_human	ENCFF854SNX
primary	ZNF700_human	ENCFF208OME
primary	ZNF707_human	ENCFF175WSH
primary	ZNF717_human	ENCFF159END
primary	ZNF740_human	ENCFF959SMC
primary	ZNF75A_human	ENCFF307UZC
primary	ZNF764_human	ENCFF049MDN
primary	ZNF766_human	ENCFF528OYW
primary	ZNF76_human	ENCFF305XQM
primary	ZNF778_human	ENCFF165JQS
primary	ZNF77_human	ENCFF809JNC
primary	ZNF780A_human	ENCFF794OSY
primary	ZNF785_human	ENCFF352NGK
primary	ZNF79_human	ENCFF670RLH
primary	ZNF7_human	ENCFF018HWM
primary	ZNF83_human	ENCFF451LLC
primary	ZNF84_human	ENCFF014HYS
primary	ZSCAN29_human	ENCFF407STM
primary	ZSCAN32_human	ENCFF537HHU
primary	ZZZ3_human	ENCFF797VEK
additional	AGO1_human	ENCFF794IRP
additional	ARID2_human	ENCFF913WRW
additional	ASH1L_human	ENCFF553IUR
additional	ATF7_human	ENCFF951BFN
additional	BCOR_human	ENCFF124FTW
additional	BDP1_human	ENCFF284FTY
additional	BRCA1_human	ENCFF620FIH
additional	BRD4_human	ENCFF130JVF
additional	BRD9_human	ENCFF775WSL
additional	BRF1_human	ENCFF072FWA
additional	C11orf30_human	ENCFF038WQY
additional	CAMTA2_human	ENCFF594WAW
additional	CBFA2T2_human	ENCFF859PDK
additional	CBFA2T3_human	ENCFF082DOH
additional	CBX3_human	ENCFF386ZWO
additional	CBX5_human	ENCFF066OJB
additional	CBX8_human	ENCFF522HZT
additional	CCAR2_human	ENCFF657LFS
additional	CCNT2_human	ENCFF642ZYO
additional	CHD1_human	ENCFF408NUX
additional	CHD2_human	ENCFF947AEO
additional	CHD4_human	ENCFF985QBS
additional	COPS2_human	ENCFF331PZL
additional	CREBBP_human	ENCFF532VPN
additional	CSDE1_human	ENCFF746OAD
additional	CTBP1_human	ENCFF782PIZ
additional	CXXC5_human	ENCFF798LLI
additional	DDX20_human	ENCFF746TUQ
additional	DIDO1_human	ENCFF928BHE
additional	DNMT1_human	ENCFF412WOK
additional	DPF2_human	ENCFF716PXH
additional	EHMT2_human	ENCFF189OHQ
additional	EP400_human	ENCFF167CQF
additional	ERF_human	ENCFF330EGV
additional	EWSR1_human	ENCFF924FYI
additional	EZH2_human	ENCFF804RVA
additional	FIP1L1_human	ENCFF285TMA
additional	FOXM1_human	ENCFF820MJD
additional	FOXP1_human	ENCFF491EEI
additional	FUS_human	ENCFF552PTK
additional	GATAD2A_human	ENCFF295YRT
additional	GTF2A2_human	ENCFF920CRL
additional	GTF2E2_human	ENCFF564KIU
additional	GTF2F1_human	ENCFF837ZJJ
additional	HCFC1_human	ENCFF139FMU
additional	HDAC1_human	ENCFF432KJA
additional	HDAC2_human	ENCFF150FJT
additional	HDAC3_human	ENCFF775PIY
additional	HDAC6_human	ENCFF736FGN
additional	HDAC8_human	ENCFF566PEY
additional	HDGF_human	ENCFF621FPC
additional	HLTF_human	ENCFF614IBI
additional	HMGN3_human	ENCFF615AKB
additional	HNRNPH1_human	ENCFF535YSH
additional	HNRNPLL_human	ENCFF833ZNA
additional	HNRNPL_human	ENCFF854WAP
additional	HNRNPUL1_human	ENCFF700VSW
additional	HOXB6_human	ENCFF285MHB
additional	HSF4_human	ENCFF023JGT
additional	ILF3_human	ENCFF382CUT
additional	JUNB_human	ENCFF510IDP
additional	KAT2B_human	ENCFF349VSP
additional	KAT7_human	ENCFF555IKI
additional	KAT8_human	ENCFF113LBV
additional	KDM1A_human	ENCFF054XCG
additional	KDM2B_human	ENCFF702THZ
additional	KDM4B_human	ENCFF928UFW
additional	KDM5B_human	ENCFF807FNB
additional	KHSRP_human	ENCFF525XXS
additional	L3MBTL2_human	ENCFF063NIH
additional	LARP7_human	ENCFF304PQQ
additional	MBD2_human	ENCFF788YHU
additional	MCM2_human	ENCFF239WEU
additional	MCM3_human	ENCFF583XAW
additional	MCM5_human	ENCFF282KHW
additional	MCM7_human	ENCFF239OHL
additional	MED1_human	ENCFF882ZEN
additional	MIER1_human	ENCFF562XKK
additional	MTA1_human	ENCFF058ZHN
additional	MTA2_human	ENCFF478LQC
additional	MTA3_human	ENCFF280AIK
additional	NBN_human	ENCFF670POK
additional	NCOA1_human	ENCFF514WJW
additional	NCOA2_human	ENCFF057SID
additional	NCOA4_human	ENCFF067BCD
additional	NCOA6_human	ENCFF996OEL
additional	NCOR1_human	ENCFF321NXM
additional	NELFE_human	ENCFF265KKE
additional	NFE2L1_human	ENCFF366XDW
additional	NFRKB_human	ENCFF321LMQ
additional	NONO_human	ENCFF211TTD
additional	NUFIP1_human	ENCFF669RLC
additional	PCBP1_human	ENCFF956MGE
additional	PCBP2_human	ENCFF732IRT
additional	PHB_human	ENCFF424OWM
additional	PHF20_human	ENCFF053PDX
additional	PHF21A_human	ENCFF215JWS
additional	PHF8_human	ENCFF981ISM
additional	PML_human	ENCFF051FNO
additional	POLR2A_human	ENCFF368TKC
additional	POLR2AphosphoS2_human	ENCFF951KHS
additional	POLR2AphosphoS5_human	ENCFF060MMW
additional	POLR2B_human	ENCFF821QOS
additional	POLR2G_human	ENCFF413LLO
additional	POLR2H_human	ENCFF084KHS
additional	POLR3A_human	ENCFF627DJP
additional	POLR3G_human	ENCFF307GHJ
additional	PRMT5_human	ENCFF018TNP
additional	PRPF4_human	ENCFF709DMO
additional	PTBP1_human	ENCFF835NOD
additional	PTRF_human	ENCFF491UBF
additional	PURB_human	ENCFF500BWO
additional	PYGO2_human	ENCFF335VOJ
additional	RAD21_human	ENCFF330SHG
additional	RAD51_human	ENCFF536WBT
additional	RB1_human	ENCFF479SOJ
additional	RBBP5_human	ENCFF942VGF
additional	RBFOX2_human	ENCFF538ACI
additional	RBM14_human	ENCFF092DLN
additional	RBM15_human	ENCFF091TCH
additional	RBM17_human	ENCFF937QYU
additional	RBM22_human	ENCFF987DPX
additional	RBM25_human	ENCFF849VEO
additional	RBM34_human	ENCFF071GJH
additional	RBM39_human	ENCFF756TIY
additional	SAFB2_human	ENCFF176MDV
additional	SAFB_human	ENCFF537RNU
additional	SAP30_human	ENCFF383IEP
additional	SETDB1_human	ENCFF319ZYX
additional	SIN3A_human	ENCFF469KAH
additional	SIN3B_human	ENCFF257NOX
additional	SIRT6_human	ENCFF217ACS
additional	SLC30A9_human	ENCFF441QXF
additional	SMARCA4_human	ENCFF793FMG
additional	SMARCA5_human	ENCFF722RWS
additional	SMARCB1_human	ENCFF217LXF
additional	SMARCC2_human	ENCFF908MWB
additional	SMARCE1_human	ENCFF148YMC
additional	SMC3_human	ENCFF123LZK
additional	SNIP1_human	ENCFF020XNM
additional	SNRNP70_human	ENCFF744FLC
additional	SPI1_human	ENCFF888CKG
additional	SRSF1_human	ENCFF792SXS
additional	SRSF3_human	ENCFF048BKZ
additional	SRSF7_human	ENCFF030QYO
additional	SRSF9_human	ENCFF746IEZ
additional	STAG1_human	ENCFF921BXP
additional	SUPT5H_human	ENCFF738XMN
additional	SUZ12_human	ENCFF889QYR
additional	TAF15_human	ENCFF547PES
additional	TAF1_human	ENCFF784BTI
additional	TAF7_human	ENCFF199CQK
additional	TAF9B_human	ENCFF432HRL
additional	TAL1_human	ENCFF101DBG
additional	TARDBP_human	ENCFF156DSB
additional	TBL1XR1_human	ENCFF967URJ
additional	TBP_human	ENCFF609UTS
additional	THRAP3_human	ENCFF067FJF
additional	TOE1_human	ENCFF917HUH
additional	TRIP13_human	ENCFF955QCD
additional	U2AF1_human	ENCFF503XOK
additional	U2AF2_human	ENCFF702DWT
additional	WHSC1_human	ENCFF862UUR
additional	XRCC3_human	ENCFF137OGC
additional	XRCC4_human	ENCFF107VWD
additional	YBX3_human	ENCFF877ZKU
additional	ZBTB1_human	ENCFF916CTU
additional	ZBTB7A_human	ENCFF346AOR
additional	ZC3H11A_human	ENCFF528SIV
additional	ZC3H4_human	ENCFF270TMW
additional	ZFP36_human	ENCFF839GAS
additional	ZFPM2_human	ENCFF549NPY
additional	ZFX_human	ENCFF840NZE
additional	ZNF830_human	ENCFF150ZBY
